Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Image,Is gift Card?,Price,Price Formatted,Compare at Price,Compare at price Formatted,Vendor,Collections,SEO Title,SEO Description,Product Type,Shopify ID,tamanho_da_caixa,Tipo de Tela,ped_metro,monitoramento_de_sono,sa_de_feminina,ecg,press_o_arterial,frequ_ncia_card_aca,oxig_nio_no_sangue,acompanha_carregador,capacidade_da_bateria,b_ssola,bluetooth,dura_o_da_bateria,com_gps,mem_ria_interna,m_sica_local,leitor_de_e_books,gravador_de_voz,com_chat_gpt,tamanho_display,com_wi_fi,rede_m_vel,com_nfc,assistente_de_voz,aplicativo,controle_de_m_sica,url,shpid,Cor 1,Cor 2,Cor 3,Descrição Longa
Air Pods Max,air-pods-max,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b686,false,false,Tue Sep 24 2024 20:12:30 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<p>O Air Pods Max B1 é construído para cumprir com o seu papel – Trazer conforto e qualidade de som.</p>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b6b1_pods07.jpeg,false,300,$299.90,370,$369.90,minha-loja,audio,Air Pods Max,O Air Pods Max B1 é construído para cumprir com o seu papel – Trazer conforto e qualidade de som.,Áudio,gid://shopify/Product/9689395462427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O Air Pods Max é construído para cumprir com o seu papel – Trazer conforto e qualidade de som.
Air Pods Pro,iwo-air-pods-pro,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b685,false,false,Tue Sep 24 2024 20:12:26 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<p><span>Os Iwo Air Pod Pro vêm com pontas de silicone em três tamanhos para um ajuste confortável, possuindo um sistema de entrada e saída de ar mantém a mesma pressão nos dois lados dos fones.</span></p>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b698_iap1.jpeg,false,200,$199.90,300,$299.90,minha-loja,audio,Air Pods Pro,"Os Iwo Air Pod Pro vêm com pontas de silicone em três tamanhos para um ajuste confortável, possuindo um sistema de en...",Áudio,gid://shopify/Product/9689391890715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Os Iwo Air Pod Pro vêm com pontas de silicone em três tamanhos para um ajuste confortável, possuindo um sistema de entrada e saída de ar mantém a mesma pressão nos dois lados dos fones."
Iwo 14 Mini,iwo-14-mini,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b678,false,false,Sat Sep 21 2024 14:15:43 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<p>O Watch 14 Mini combina beleza e funcionalidade em um design compacto e elegante, oferecendo tudo o que você ama: rastreamento de atividades, orientação de exercícios, monitoramento de saúde, mostradores de relógio com IA, controle por gestos, pagamentos via QR Code PayPal e chamadas por Bluetooth.&nbsp;</p>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b68f_Group109_0.5x.jpeg,false,230,$229.90,330,$329.90,iwo-watch,smartwatch,Iwo 14 Mini,"O Watch 14 Mini combina beleza e funcionalidade em um design compacto e elegante, oferecendo tudo o que você ama: ras...",Smartwatch,gid://shopify/Product/9685963112731,41 mm,IPS HD ,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,380 mAh,Não,Sim,2 - 5 dias,Através do aplicativo MActive Pro,128 MB,Não,Não,Não,Não,"1.5""",Não,Não,Sim - abertura de portas,Sim,MActive Pro,Sim,https://www.iwowatch.com.br/product/iwo-14-mini,9685963112731,"hsla(0, 0.00%, 0.00%, 1.00)","hsla(0, 0.00%, 61.96%, 1.00)","hsla(53.02325581395349, 46.74%, 63.92%, 1.00)","O Watch 14 Mini combina beleza e funcionalidade em um design compacto e elegante, oferecendo tudo o que você ama: rastreamento de atividades, orientação de exercícios, monitoramento de saúde, mostradores de relógio com IA, controle por gestos, pagamentos via QR Code PayPal e chamadas por Bluetooth. "
Iwo 14 Pro Max,iwo-14-pro-max,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b677,false,false,Mon Sep 16 2024 03:38:23 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<div class=""elementor-element elementor-element-7cf05aa elementor-widget elementor-widget-jet-single-excerpt"" data-id=""7cf05aa"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<p>Tela de 2.2 polegadas, rastreamento GPS via aplicativo, altímetro, jogos de movimento, gerenciamento de tarefas em segundo plano, troca de skins de aplicativo, vídeos de trilha esportiva via aplicativo, alerta SOS, Watchface de Álbum, Watchfaces de vídeo, Chat GPT, Gravador e termômetro.</p>
</div>
</div>
</div>
</div>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b638_Group131_0.5x.jpeg,false,240,$239.90,290,$289.90,iwo-watch,smartwatch,Iwo 14 Pro Max,"Tela de 2.2 polegadas, rastreamento GPS via aplicativo, altímetro, jogos de movimento, gerenciamento de tarefas em se...",Smartwatch,gid://shopify/Product/9675839570203,47 mm,HD IPS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,380 mAh,Não,Sim,2 - 10 dias,Através do aplicativo MActive Pro,1 GB,Sim,Sim,Sim,Sim,"2.2"" 2.5D",Não,Não,Sim - abertura de portas,Sim,MActive Pro,Sim,https://www.iwowatch.com.br/product/iwo-14-pro-max,9675839570203,"hsla(0, 0.00%, 0.00%, 1.00)","hsla(0, 0.00%, 61.96%, 1.00)","hsla(53.02325581395349, 46.74%, 63.92%, 1.00)","Tela de 2.2 polegadas, rastreamento GPS via aplicativo, altímetro, jogos de movimento, gerenciamento de tarefas em segundo plano, troca de skins de aplicativo, vídeos de trilha esportiva via aplicativo, alerta SOS, Watchface de Álbum, Watchfaces de vídeo, Chat GPT, Gravador e termômetro."
Iwo 15X,iwo-15x-pro,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b674,false,false,Fri Sep 06 2024 20:19:30 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<p>Tela de 2.0 polegadas, Chat GPT, Gravador de Voz, Conexão independente com fones de ouvido, Músicas sem o celular, rastreamento GPS via aplicativo, altímetro, jogos de movimento e muito mais!</p>
<!---->",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b5d7_Preto-frente.png,false,360,$359.90,430,$429.90,iwo-watch,smartwatch,Iwo 15X,"Tela de 2.0 polegadas, Chat GPT, Gravador de Voz, Conexão independente com fones de ouvido, Músicas sem o celular, ra...",Smartwatch,gid://shopify/Product/9633413628187,45 mm,AMOLED,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,380mAh,Sim,5.1,7 dias,Através do aplicativo MActive Pro,2 GB,Sim,Sim,Sim,Sim,"2.0""",Não,Não,Sim - abertura de portas,Sim,MActive Pro,Sim,https://www.iwowatch.com.br/product/iwo-15x,9633413628187,"hsla(0, 0.00%, 0.00%, 1.00)",#9e9e9e,#cec478,"Tela de 2.0 polegadas, Chat GPT, Gravador de Voz, Conexão independente com fones de ouvido, Músicas sem o celular, rastreamento GPS via aplicativo, altímetro, jogos de movimento e muito mais!"
Iwo 15X Mini,iwo-15x-mini-1,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b676,false,false,Sat Sep 14 2024 17:51:19 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<p>O Watch 15X Mini combina beleza e funcionalidade em um design compacto e elegante, oferecendo tudo o que você ama: rastreamento de atividades, orientação de exercícios, monitoramento de saúde, mostradores de relógio com IA, controle por gestos, pagamentos via QR Code PayPal e chamadas por Bluetooth.&nbsp;</p>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b623_Group101_0.5x.jpeg,false,290,$289.90,330,$329.90,iwo-watch,smartwatch,Iwo 15X Mini,"O Watch 15X Mini combina beleza e funcionalidade em um design compacto e elegante, oferecendo tudo o que você ama: ra...",Smartwatch,gid://shopify/Product/9673035219227,38 mm,HD,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,280 mAh,Não,5.1,2 - 5 dias ,Através do aplicativo MActive Pro,2 GB,Não,Não,Não,Não,"1.52""",Não,Não,Sim - abertura de portas,Sim,MActive Pro,Sim,https://www.iwowatch.com.br/product/iwo-15-x-mini,9673035219227,"hsla(0, 0.00%, 0.00%, 1.00)","hsla(0, 0.00%, 61.96%, 1.00)","hsla(53.02325581395349, 46.74%, 63.92%, 1.00)","O Watch 15X Mini combina beleza e funcionalidade em um design compacto e elegante, oferecendo tudo o que você ama: rastreamento de atividades, orientação de exercícios, monitoramento de saúde, mostradores de relógio com IA, controle por gestos, pagamentos via QR Code PayPal e chamadas por Bluetooth. "
Iwo 15X Pro,iwo-15x,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b68b,false,false,Fri Sep 27 2024 17:16:23 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<p>O Iwo 15X Pro é o smartwatch que combina inovação e performance. Com uma tela HD de 2.1"", bateria de 380mAh, e processador A9, ele oferece chamadas Bluetooth, monitoramento de saúde, GPS, bússola e mais de 500 mostradores. Seu design premium, à prova d'água, e funcionalidades como Dynamic Island e controle por gestos garantem uma experiência completa.</p>
<p>&nbsp;</p>
<!---->",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b6c0_Group_147_1x_8de55a2e-c834-4222-addd-b2ae8e8fd77e.jpeg,false,330,$329.90,430,$429.90,iwo-watch,smartwatch,Iwo 15X Pro,"O Iwo 15X Pro é o smartwatch que combina inovação e performance. Com uma tela HD de 2.1"", bateria de 380mAh, e proces...",Smartwatch,gid://shopify/Product/9693890445595,45 mm,HD,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,380mAh,Sim,Bluetooth 5.1,Até 10 dias,Através do aplicativo MActive Pro,2 GB,Sim,Sim,Sim,Sim,"2.0""",Não,Não,Sim - abertura de portas,Sim,MActive Pro,Sim,https://www.iwowatch.com.br/product/iwo-15x-pro,9693890445595,"hsla(0, 0.00%, 0.00%, 1.00)","hsla(53.02325581395349, 46.74%, 63.92%, 1.00)","hsla(0, 0.00%, 61.96%, 1.00)","O Iwo 15X é o smartwatch que combina inovação e performance. Com uma tela HD de 2.1"", bateria de 380mAh, e processador A9, ele oferece chamadas Bluetooth, monitoramento de saúde, GPS, bússola e mais de 500 mostradores. Seu design premium, à prova d'água, e funcionalidades como Dynamic Island e controle por gestos garantem uma experiência completa."
Iwo S10,iwo-s10,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b6ae,false,false,Mon Feb 10 2025 17:06:58 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 17:35:16 GMT+0000 (Coordinated Universal Time),,"<p id="""">O mais novo e mais fino lançamento da Iwo Watch. Tela de OLED 2.08"" com alta taxa de atualização, Chat GPT, Gravador de Voz, Conexão independente com fones de ouvido, Músicas sem o celular, rastreamento GPS via aplicativo, altímetro, jogos de movimento e muito mais!</p>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b71f_frente_1x_8c46ab3a-b5a5-4b63-9fa6-69cf2fb6af8d.jpeg,false,400,$399.90,499,$499.90,iwo-watch,smartwatch,Iwo S10,"O mais novo e mais fino lançamento da Iwo Watch. Tela de OLED 2.08"" com alta taxa de atualização, Chat GPT, Gravador de Voz, Conexão independente com fones de ouvido, Músicas sem o celular, rastreamento GPS via aplicativo, altímetro, jogos de movimento e muito mais!",Smartwatch,gid://shopify/Product/9810615304475,"47,5 mm",OLED,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,420 mAh,Sim,Sim,Até 15 dias,Através do aplicativo MActive Pro,1 GB,Sim,Sim,Sim,Sim,"2.08""",Não,Não,Sim - abertura de portas,Sim,MActive Pro,Sim,https://www.iwowatch.com.br/product/iwo-s10,9810615304475,Black,#cec478,,"O mais novo e mais fino lançamento da Iwo Watch. Tela de OLED 2.08"" com alta taxa de atualização, Chat GPT, Gravador de Voz, Conexão independente com fones de ouvido, Músicas sem o celular, rastreamento GPS via aplicativo, altímetro, jogos de movimento e muito mais!"
Iwo Ultra 3 AMOLED,iwo-ultra-pro-amoled-max,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b675,false,false,Sat Sep 07 2024 07:16:24 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<p><span>O Iwo Ultra 3 AMOLED é um relógio inteligente avançado que combina tecnologia de ponta com um design elegante. Este dispositivo possui uma tela AMOLED de 2.2 polegadas com bordas extremamente estreitas de 1.6 mm, oferecendo uma experiência visual imersiva. Equipado com um processador dual core de 192 MHz e gráficos 2.5D, ele garante um desempenho fluído e responsivo.</span></p>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b5f3_frente.jpeg,false,380,$379.90,490,$489.90,iwo-watch,smartwatch,Iwo Ultra 3 AMOLED,O Iwo Ultra 3 AMOLED é um relógio inteligente avançado que combina tecnologia de ponta com um design elegante. Este d...,Smartwatch,gid://shopify/Product/9660786344219,49 mm,Amoled,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,450 mAh,Sim,Bluetooth 5.0,3 - 10 dias,Através do aplicativo MActive Pro,2 GB,Sim,Sim,Sim,Sim,"2.2""",Não,Não,Sim - abertura de portas,Sim,MActive Pro,Sim,https://www.iwowatch.com.br/product/iwo-ultra-3-amoled,9660786344219,"hsla(0, 0.00%, 0.00%, 1.00)",,"hsla(53.02325581395349, 46.74%, 63.92%, 1.00)","O Iwo Ultra 3 AMOLED é um relógio inteligente avançado que combina tecnologia de ponta com um design elegante. Este dispositivo possui uma tela AMOLED de 2.2 polegadas com bordas extremamente estreitas de 1.6 mm, oferecendo uma experiência visual imersiva. Equipado com um processador dual core de 192 MHz e gráficos 2.5D, ele garante um desempenho fluído e responsivo."
Iwo Ultra 3 Pro,iwo-ultra-3-pro-amoled,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b68a,false,false,Fri Sep 27 2024 17:16:20 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<p>O Iwo Ultra 3 Pro traz a revolução da inteligência artificial ao seu pulso, com tela de 2.1"", monitoramento 24h de saúde, NFC multifuncional e integração com o Chat GPT. À prova d'água e com até 15 dias de bateria, ele oferece modos esportivos, controle por gestos e mais de 1000 mostradores personalizados.</p>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b6bf_Group_142_1x_f55430e0-bf4e-4ec5-a4d1-bd6e130db43c.jpeg,false,360,$359.90,460,$459.90,iwo-watch,smartwatch,Iwo Ultra 3 Pro,"O Iwo Ultra 3 Pro traz a revolução da inteligência artificial ao seu pulso, com tela de 2.1"", monitoramento 24h de sa...",Smartwatch,gid://shopify/Product/9693873144091,49 mm,IPS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,450 mAh,Sim,5.0,4 - 15 dias,Através do aplicativo MActive Pro,2 GB,Sim,Sim,Sim,Sim,"2.1""",Não,Não,Sim - abertura de portas,Sim,MActive Pro,Sim,https://www.iwowatch.com.br/product/iwo-ultra-3-pro,9693873144091,"hsla(0, 0.00%, 0.00%, 1.00)","hsla(53.02325581395349, 46.74%, 63.92%, 1.00)",,"O Iwo Ultra 3 Pro traz a revolução da inteligência artificial ao seu pulso, com tela de 2.1"", monitoramento 24h de saúde, NFC multifuncional e integração com o Chat GPT. À prova d'água e com até 15 dias de bateria, ele oferece modos esportivos, controle por gestos e mais de 1000 mostradores personalizados."
